,Unnamed: 0,date_stolen,frame_colors,frame_model,id,is_stock_img,large_img,manufacturer_name,serial,stolen,stolen_location,thumb,title,year,stolen_zipcode,year_stolen
33,33,2018-11-03 17:00:00,['Blue'],Cross-Check,462239,False,https://files.bikeindex.org/uploads/Pu/140320/large_IMG_9528.JPG,Surly,YS-PC20270,True,"San Francisco,CA,94105",https://files.bikeindex.org/uploads/Pu/140320/small_IMG_9528.JPG,2014 Surly Cross-Check,2014.0,94105,2018
39,39,2018-11-03 09:00:00,"['Red', 'Silver, gray or bare metal']",OCR 3,461486,False,https://files.bikeindex.org/uploads/Pu/140180/large_7B0FA35C-EE40-4556-82F5-22AD9001FA0B.jpeg,Giant,absent,True,"San Francisco,CA,94114",https://files.bikeindex.org/uploads/Pu/140180/small_7B0FA35C-EE40-4556-82F5-22AD9001FA0B.jpeg,2007 Giant OCR 3,2007.0,94114,2018
40,40,2018-11-03 09:00:00,"['Silver, gray or bare metal']",Thin 7,461723,False,https://files.bikeindex.org/uploads/Pu/140253/large_IMG_20170824_081301.jpg,Sondors,MT17004959,True,"Berkeley,CA,94704",https://files.bikeindex.org/uploads/Pu/140253/small_IMG_20170824_081301.jpg,Sondors Thin 7,,94704,2018
41,41,2018-11-03 05:00:00,['Black'],N/a,461764,False,https://files.bikeindex.org/uploads/Pu/140264/large_alice.png,Not visible on bike,absent,True,"San Francisco,CA,94110",https://files.bikeindex.org/uploads/Pu/140264/small_alice.png,Not visible on bike N/a,,94110,2018
42,42,2018-11-03 15:24:15,['White'],Lightweight 6061 Aluminum Frame,460962,False,,SXL,absent,True,"Los Angeles,CA,90007",,2018 SXL Lightweight 6061 Aluminum Frame,2018.0,90007,2018
47,47,2018-11-02 23:00:00,"['Silver, gray or bare metal']",Mountain ,462623,False,,Genesis,no number,True,"Chico,CA,95973",,Genesis Mountain,,95973,2018
48,48,2018-11-02 21:00:44,"['Silver, gray or bare metal']",Cadent 1,460772,False,https://files.bikeindex.org/uploads/Pu/140095/large_IMG_3432.JPG,Raleigh,u149k14722,True,"San Francisco,CA,94103",https://files.bikeindex.org/uploads/Pu/140095/small_IMG_3432.JPG,2015 Raleigh Cadent 1,2015.0,94103,2018
49,49,2018-11-02 21:00:00,"['Silver, gray or bare metal']",Bike DB APEX,460776,False,https://files.bikeindex.org/uploads/Pu/140096/large_390CE60F-888D-4C89-BB06-6D1BBD7AC735.jpeg,Diamondback,DAA16F000473,True,"San Diego,CA,92109",https://files.bikeindex.org/uploads/Pu/140096/small_390CE60F-888D-4C89-BB06-6D1BBD7AC735.jpeg,2016 Diamondback Bike DB APEX,2016.0,92109,2018
56,56,2018-11-02 18:56:45,"['Blue', 'Blue']","19"" frame size kent bayside. ",460699,False,,Kent,GS72696,True,"Santa Ana,CA,92705",,"Kent 19"" frame size kent bayside.",,92705,2018
69,69,2018-11-02 04:00:00,['Black'],Volare,69412,False,https://files.bikeindex.org/uploads/Pu/46648/large_ebike.jpg,Schwinn,SNMNG 14C37721,True,"San Francisco,CA,94118",https://files.bikeindex.org/uploads/Pu/46648/small_ebike.jpg,2014 Schwinn Volare,2014.0,94118,2018
71,71,2018-11-02 04:00:00,"['Silver, gray or bare metal']",Galaxy SC2,460313,False,,Mercier,L140801806,True,"San Francisco,CA,94105",,Mercier Galaxy SC2,,94105,2018
72,72,2018-11-02 04:00:00,['Black'],Roadster Classic,460592,False,https://files.bikeindex.org/uploads/Pu/140080/large_IMG_5427.jpg,Linus,absent,True,"Santa Monica,CA,90405",https://files.bikeindex.org/uploads/Pu/140080/small_IMG_5427.jpg,2017 Linus Roadster Classic,2017.0,90405,2018
73,73,2018-11-02 03:40:19,['Black'],,460184,False,,Vitus,J123300599,True,"Los Angeles,CA,90007",,Vitus,,90007,2018
78,78,2018-11-01 18:29:28,['Teal'],C Sport 4,459879,False,,Bianchi,WBK838284M,True,"San Francisco,CA,94107",,2018 Bianchi C Sport 4,2018.0,94107,2018
93,93,2018-10-31 23:00:00,"['Silver, gray or bare metal']",Prime,459238,False,https://files.bikeindex.org/uploads/Pu/139971/large_IMG_20181031_161238_556.jpg,Zycle Fix,14TM1247087,True,"Los Angeles,CA,90011",https://files.bikeindex.org/uploads/Pu/139971/small_IMG_20181031_161238_556.jpg,2015 Zycle Fix Prime,2015.0,90011,2018
