,Percent; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population - Male,Percent; SEX AND AGE - Total population - Female,Percent; SEX AND AGE - Under 5 years,Percent; SEX AND AGE - 5 to 9 years,Percent; SEX AND AGE - 10 to 14 years,Percent; SEX AND AGE - 15 to 19 years,Percent; SEX AND AGE - 20 to 24 years,Percent; SEX AND AGE - 25 to 34 years,Percent; SEX AND AGE - 35 to 44 years,Percent; SEX AND AGE - 45 to 54 years,Percent; SEX AND AGE - 55 to 59 years,Percent; SEX AND AGE - 60 to 64 years,Percent; SEX AND AGE - 65 to 74 years,Percent; SEX AND AGE - 75 to 84 years,Percent; SEX AND AGE - 85 years and over,Percent; SEX AND AGE - Median age (years),Percent; SEX AND AGE - 18 years and over,Percent; SEX AND AGE - 21 years and over,Percent; SEX AND AGE - 62 years and over,Percent; SEX AND AGE - 65 years and over,Percent; SEX AND AGE - 18 years and over,Percent; SEX AND AGE - 18 years and over - Male,Percent; SEX AND AGE - 18 years and over - Female,Percent; SEX AND AGE - 65 years and over,Percent; SEX AND AGE - 65 years and over - Male,Percent; SEX AND AGE - 65 years and over - Female,Percent; RACE - Total population,Percent; RACE - Total population - One race,Percent; RACE - Total population - Two or more races,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping,Percent; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping,Percent; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping,Percent; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping,Percent; RACE - One race - Asian,Percent; RACE - One race - Asian - Asian Indian,Percent; RACE - One race - Asian - Chinese,Percent; RACE - One race - Asian - Filipino,Percent; RACE - One race - Asian - Japanese,Percent; RACE - One race - Asian - Korean,Percent; RACE - One race - Asian - Vietnamese,Percent; RACE - One race - Asian - Other Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander - Samoan,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races,Percent; RACE - Two or more races - White and Black or African American,Percent; RACE - Two or more races - White and American Indian and Alaska Native,Percent; RACE - Two or more races - White and Asian,Percent; RACE - Two or more races - Black or African American and American Indian and Alaska Native,Percent; RACE - Race alone or in combination with one or more other races - Total population,Percent; RACE - Race alone or in combination with one or more other races - Total population - White,Percent; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Percent; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Percent; RACE - Race alone or in combination with one or more other races - Total population - Asian,Percent; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Percent; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,"Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races",Percent; HISPANIC OR LATINO AND RACE - Total housing units,"Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population","Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population - Male","Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population - Female",avg_income,zipcode,total_population
30010,57942,50.9,49.1,8.9,9.3,8.5,9.1,9.0,15.6,13.5,11.6,4.3,3.4,4.3,1.7,0.8,(X),67.8,61.9,8.7,6.8,39265,50.5,49.5,3932,44.0,56.0,57942,98.8,1.2,98.8,35.9,8.9,0.9,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,52.9,1.2,0.2,0.1,0.0,0.0,57942,36.7,9.5,1.2,0.2,0.0,53.7,57942,90.1,75.5,0.2,0.1,14.4,9.9,0.8,8.5,0.0,0.2,0.0,0.3,0.2,0.0,0.1,(X),22826,48.2,51.8,41705.122288878636,90001,57110
30011,51826,48.0,52.0,9.0,8.6,9.0,9.5,9.4,14.5,13.9,12.6,4.1,3.1,4.1,1.6,0.6,(X),67.9,61.7,7.7,6.3,35165,47.1,52.9,3260,40.1,59.9,51826,98.9,1.1,98.9,37.8,21.6,0.8,0.0,0.0,0.0,0.0,0.6,0.1,0.2,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.1,38.0,1.1,0.4,0.1,0.1,0.0,51826,38.7,22.2,1.0,0.7,0.2,38.4,51826,76.3,61.7,0.5,0.1,13.9,23.7,0.8,21.2,0.6,0.6,0.1,0.0,0.4,0.0,0.4,(X),22428,46.1,53.9,41365.00754147813,90002,51223
30012,70208,48.4,51.6,9.6,9.3,9.0,9.2,8.4,15.1,13.5,12.2,4.5,3.2,3.8,1.5,0.7,(X),66.3,60.9,7.8,5.9,46530,47.3,52.7,4153,46.0,54.0,70208,98.8,1.2,98.8,25.8,23.1,0.8,0.0,0.0,0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,48.8,1.2,0.1,0.1,0.1,0.0,70208,26.6,23.4,1.1,0.6,0.1,49.5,70208,76.4,54.0,0.2,0.2,21.9,23.6,0.6,22.2,0.1,0.3,0.0,0.1,0.3,0.0,0.3,(X),27958,44.3,55.7,39803.9574935874,90003,66266
30013,63095,49.4,50.6,6.1,5.2,5.4,5.3,6.9,19.9,15.5,14.6,5.9,5.1,5.8,2.9,1.2,(X),80.1,76.4,12.7,10.0,50512,50.4,49.6,6291,43.0,57.0,63095,96.7,3.3,96.7,40.6,3.8,0.2,0.0,0.0,0.0,0.0,25.2,1.0,1.2,9.0,0.5,11.3,0.2,2.0,0.4,0.0,0.1,0.3,0.1,26.6,3.3,0.6,0.2,0.7,0.0,63095,43.0,4.8,0.8,26.6,0.8,27.6,63095,50.7,19.1,0.3,0.4,30.9,49.3,17.7,3.6,0.1,24.8,0.4,0.6,2.1,0.2,1.9,(X),32688,50.3,49.7,64724.91909385113,90004,62180
30014,39338,49.8,50.2,6.9,5.5,5.0,4.4,7.1,22.7,16.2,12.5,5.2,4.4,6.4,2.6,1.1,(X),80.2,76.8,12.5,10.1,31531,49.7,50.3,3954,37.4,62.6,39338,97.6,2.4,97.6,19.0,5.6,0.7,0.0,0.0,0.0,0.0,33.8,0.3,1.3,3.4,0.3,26.9,0.4,1.1,0.1,0.0,0.0,0.1,0.0,38.4,2.4,0.4,0.3,0.4,0.2,39338,20.6,6.7,1.4,34.5,0.3,39.0,39338,51.3,26.9,0.4,0.3,23.8,48.7,7.7,5.2,0.3,33.8,0.1,0.3,1.3,0.1,1.2,(X),15980,47.6,52.4,55977.917981072555,90005,37681
30015,61230,50.3,49.7,6.9,7.1,5.9,6.6,7.3,18.7,14.3,12.8,5.9,4.4,6.5,2.6,1.0,(X),76.4,72.1,12.8,10.1,46798,50.1,49.9,6179,42.5,57.5,61230,98.2,1.8,98.2,21.7,3.5,0.9,0.0,0.0,0.0,0.0,19.1,0.3,0.6,1.5,0.4,15.4,0.2,0.6,0.2,0.0,0.1,0.0,0.2,52.8,1.8,0.3,0.2,0.1,0.1,61230,23.2,4.0,1.2,19.4,0.3,53.8,61230,73.3,36.1,0.4,0.3,36.5,26.7,3.5,3.1,0.1,18.9,0.2,0.3,0.5,0.1,0.5,(X),22625,46.8,53.2,43535.41938287701,90006,59185
30016,41979,49.6,50.4,3.9,4.8,4.5,12.0,27.6,17.1,8.4,8.1,4.0,2.5,4.0,2.2,0.9,(X),84.4,68.0,8.7,7.1,35425,48.7,51.3,2993,35.1,64.9,41979,97.2,2.8,97.2,29.3,10.4,0.5,0.0,0.0,0.0,0.0,20.0,3.8,10.0,0.7,0.5,3.0,1.0,1.1,0.4,0.0,0.0,0.1,0.2,36.5,2.8,0.2,0.3,0.7,0.1,41979,31.5,11.0,1.1,21.2,0.5,37.7,41979,49.9,31.2,0.4,0.2,18.1,50.1,17.7,10.1,0.1,19.8,0.4,0.4,1.6,0.2,1.4,(X),22627,48.8,51.2,44572.10776545166,90007,40920
30017,32060,43.8,56.2,5.3,4.4,4.7,6.0,6.5,12.8,12.3,15.3,8.5,6.7,8.8,6.4,2.3,(X),81.9,78.3,21.4,17.6,26242,41.6,58.4,5631,35.9,64.1,32060,96.0,4.0,96.0,17.4,65.7,0.3,0.0,0.0,0.0,0.0,3.1,0.0,0.4,0.7,0.8,0.9,0.0,0.3,0.1,0.0,0.1,0.0,0.0,9.3,4.0,1.8,0.1,0.2,0.4,32060,20.0,68.9,1.4,4.3,0.2,10.2,32060,24.7,13.4,0.5,0.2,10.6,75.3,3.8,64.5,0.3,3.1,0.1,0.8,2.7,0.1,2.6,(X),23235,40.0,60.0,68134.97340425532,90008,32327
30018,3524,50.3,49.7,1.7,0.3,1.4,2.8,11.0,25.9,13.4,13.3,7.4,6.6,8.2,7.3,0.9,(X),95.7,90.6,19.2,16.3,3372,50.9,49.1,576,49.1,50.9,3524,98.8,1.2,98.8,18.9,5.6,0.3,0.0,0.0,0.0,0.0,69.1,1.2,3.7,0.9,0.9,58.5,0.0,3.7,0.0,0.0,0.0,0.0,0.0,4.9,1.2,0.0,0.0,0.0,0.7,3524,19.4,6.3,1.0,69.1,0.0,5.4,3524,10.6,5.9,1.0,0.0,3.7,89.4,13.9,5.1,0.3,68.7,0.0,0.4,1.0,0.4,0.7,(X),2251,55.7,44.3,100617.28395061729,90010,3800
30019,104762,49.7,50.3,9.0,9.2,8.4,9.2,8.7,16.0,15.0,11.8,4.3,2.9,3.2,1.7,0.5,(X),67.7,62.2,7.1,5.4,70972,50.0,50.0,5684,40.2,59.8,104762,98.9,1.1,98.9,36.3,8.6,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.0,52.3,1.1,0.1,0.3,0.0,0.0,104762,37.2,8.9,1.4,0.7,0.2,53.0,104762,90.1,72.1,0.2,0.2,17.7,9.9,0.6,8.3,0.1,0.5,0.1,0.2,0.1,0.0,0.1,(X),33250,46.8,53.2,39485.006518904825,90011,103892
